id;code;display;provider;type;lang
1;male;Male;SYSTEM;SEX_TYPE;en
2;female;Female;SYSTEM;SEX_TYPE;en
3;other;Other;SYSTEM;SEX_TYPE;en
4;unknown;Unknown;SYSTEM;SEX_TYPE;en
5;work;Work;SYSTEM;ADDRESS_TYPE;en
6;home;Home;SYSTEM;ADDRESS_TYPE;en
7;temp;Temporary;SYSTEM;ADDRESS_TYPE;en
8;organisation;Organisation;SYSTEM;ORGANISATION_TYPE;en
9;organisation_unit;Organisation Unit;SYSTEM;ORGANISATION_TYPE;en
10;organisation_id;Org ID;SYSTEM;IDENTIFIER_TYPES;en
11;system;System;SYSTEM;IDENTIFIER_PROVIDERS;en
